               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.10229,            0.049718,            0.088116,           0.0063327,             0.52546,            0.010278,           0.0033353,            0.075621,            0.036136,            0.088795,            0.070476,           0.0032804,           0.0032804
                   1,            0.071626,            0.048114,            0.085898,            0.020361,              0.1156,            0.024105,            0.011092,            0.057194,            0.032564,             0.08603,            0.040149,           0.0062864,           0.0062864
                   2,            0.065019,            0.041877,            0.083755,            0.020718,             0.43759,            0.028544,            0.011343,            0.065615,            0.024882,            0.084205,           0.0094914,           0.0089623,           0.0089623
                   3,            0.061688,            0.040251,            0.082311,             0.02416,             0.68618,            0.045845,            0.022142,             0.04889,             0.02337,            0.083056,            0.008515,            0.008515,            0.008515
                   4,            0.053573,            0.037858,            0.082149,            0.059078,             0.57659,            0.045892,            0.026783,            0.045731,            0.022765,             0.08219,            0.008515,            0.008515,            0.008515
                   5,            0.049045,            0.036687,            0.080884,            0.017968,             0.89348,            0.049862,            0.028182,            0.042739,            0.021801,            0.081757,             0.00802,             0.00802,             0.00802
                   6,            0.043953,            0.035467,            0.080971,            0.027543,             0.77737,            0.058906,            0.036729,            0.034148,            0.020867,            0.081316,            0.007525,            0.007525,            0.007525
                   7,            0.042292,            0.036323,            0.080495,            0.068124,             0.61835,            0.067256,            0.042076,             0.03457,            0.020792,            0.080999,             0.00703,             0.00703,             0.00703
                   8,            0.039145,            0.034847,            0.080067,            0.066042,             0.74665,            0.072988,            0.045919,            0.034538,            0.020365,            0.080725,            0.006535,            0.006535,            0.006535
                   9,            0.037129,            0.032954,             0.07987,              0.1125,             0.40839,            0.076014,            0.050114,            0.031142,            0.019693,            0.080391,             0.00604,             0.00604,             0.00604
                  10,            0.035897,            0.033164,            0.079223,             0.19399,             0.29129,            0.082803,            0.054745,            0.028748,            0.019175,            0.080043,            0.005545,            0.005545,            0.005545
                  11,             0.03395,            0.032778,            0.078601,             0.22644,             0.24842,            0.087871,            0.059244,            0.028196,            0.018949,            0.079532,             0.00505,             0.00505,             0.00505
                  12,            0.032393,            0.031575,            0.078375,             0.21009,             0.26012,            0.090234,             0.06315,            0.025639,             0.01849,            0.079059,            0.004555,            0.004555,            0.004555
                  13,            0.032398,            0.031873,            0.077841,             0.24174,             0.24797,            0.094136,            0.065619,            0.026388,            0.018373,            0.078592,             0.00406,             0.00406,             0.00406
                  14,            0.031225,            0.031361,            0.077243,             0.27488,             0.22385,             0.10189,            0.073677,            0.025474,            0.018088,            0.078117,            0.003565,            0.003565,            0.003565
                  15,            0.029868,            0.031381,             0.07692,              0.2605,             0.24078,              0.1026,            0.074813,            0.024943,            0.018144,            0.077772,             0.00307,             0.00307,             0.00307
                  16,             0.02883,            0.029476,            0.076519,             0.25682,             0.27515,             0.10361,            0.075713,            0.023982,            0.017515,            0.077299,            0.002575,            0.002575,            0.002575
                  17,            0.028854,             0.03188,            0.075461,             0.29204,             0.27532,             0.11107,            0.083049,            0.023295,            0.017277,            0.076904,             0.00208,             0.00208,             0.00208
                  18,            0.027607,            0.030095,            0.075542,             0.28443,             0.27164,              0.1102,            0.082489,            0.023142,            0.017014,            0.076542,            0.001585,            0.001585,            0.001585
                  19,            0.027488,            0.030273,            0.075231,             0.28236,             0.28332,             0.11066,            0.083476,            0.022206,            0.016697,            0.076275,             0.00109,             0.00109,             0.00109
