                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.88328,                 1.5437,                 1.1083,                0.87656,                0.88578,                0.93154,                0.79524,                0.57329,                0.95229,                0.87128,             0.00025722,             0.00025722,             0.00025722
                      2,                0.85866,                 1.2369,                 1.1372,                0.83066,                0.79768,                0.83335,                0.71726,                0.57117,                 1.1793,                0.88759,             0.00050256,             0.00050256,             0.00050256
                      3,                0.79694,                 1.1312,                 1.0717,                0.86224,                 0.7576,                0.91462,                0.78997,                  0.599,                 1.1718,                0.89336,             0.00072102,             0.00072102,             0.00072102
                      4,                0.83171,                 1.2212,                 1.1035,                0.79374,                0.82469,                0.92397,                0.76622,                0.66657,                 1.4352,                0.93954,              0.0009126,              0.0009126,              0.0009126
                      5,                0.85279,                 1.2071,                 1.1134,                0.86594,                0.92629,                0.95087,                0.77102,                0.67851,                0.96661,                 0.9432,              0.0010773,              0.0010773,              0.0010773
                      6,                0.87536,                  1.194,                 1.0916,                0.83598,                0.89738,                0.95272,                 0.8177,                0.61397,                0.93626,                0.88204,              0.0010753,              0.0010753,              0.0010753
                      7,                0.90446,                 1.1186,                 1.1039,                 0.7316,                0.87432,                0.92039,                0.78358,                0.63365,                 1.5053,                0.88626,              0.0010753,              0.0010753,              0.0010753
                      8,                0.78376,                 1.0168,                 1.0556,                0.91716,                0.94739,                0.97515,                0.82655,                0.65454,                0.92738,                0.90167,              0.0010046,              0.0010046,              0.0010046
                      9,                0.88198,                 1.0626,                 1.1006,                0.94845,                0.95901,                0.98089,                0.83188,                0.61903,                0.89228,                0.88969,             0.00093385,             0.00093385,             0.00093385
                     10,                0.79061,                 1.0195,                 1.0947,                0.92136,                0.95687,                0.97113,                0.83742,                0.57073,                0.78129,                 0.8752,             0.00086312,             0.00086312,             0.00086312
                     11,                0.63339,                 1.2247,                0.95232,                0.91232,                0.94436,                0.97128,                0.83773,                0.60131,                0.83615,                0.88427,             0.00079238,             0.00079238,             0.00079238
                     12,                0.61712,                 1.2073,                0.93884,                0.92036,                0.94077,                0.95569,                0.83305,                0.56527,                0.85342,                0.86675,             0.00072164,             0.00072164,             0.00072164
                     13,                0.57372,                 1.0702,                0.91305,                0.90395,                0.92271,                0.96106,                0.83139,                   0.56,                0.83701,                0.86812,             0.00065091,             0.00065091,             0.00065091
                     14,                0.58604,                 1.0373,                 0.8936,                0.89974,                0.94203,                0.98333,                 0.8567,                0.53339,                0.82301,                0.85461,             0.00058017,             0.00058017,             0.00058017
                     15,                0.57577,                 1.0297,                0.91735,                0.95562,                0.95767,                0.99186,                0.87083,                0.52233,                0.72589,                0.85089,             0.00050944,             0.00050944,             0.00050944
                     16,                0.58762,                0.97383,                0.90933,                0.93651,                0.99147,                 0.9927,                0.87896,                0.51605,                0.67227,                0.85106,              0.0004387,              0.0004387,              0.0004387
                     17,                0.54143,                0.93014,                0.88963,                0.97116,                0.98498,                0.99279,                0.89442,                0.48509,                0.61663,                0.84092,             0.00036797,             0.00036797,             0.00036797
                     18,                0.52948,                0.86168,                0.87302,                0.97773,                0.97047,                0.99295,                0.89136,                0.48102,                0.61953,                0.83668,             0.00029723,             0.00029723,             0.00029723
                     19,                0.56005,                0.85597,                0.88935,                0.98773,                0.99275,                0.99447,                0.88874,                0.47764,                0.60912,                0.83466,              0.0002265,              0.0002265,              0.0002265
                     20,                0.50425,                0.77868,                0.87899,                0.99678,                0.99275,                0.99472,                0.89473,                  0.475,                0.58644,                0.83421,             0.00015576,             0.00015576,             0.00015576
