                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.77188,                   2.84,                 1.0757,                0.00581,                      1,                0.40152,                0.33876,                0.46203,                 2.7837,                0.81605,             0.00025722,             0.00025722,             0.00025722
                      2,                0.87934,                 2.0646,                   1.12,                 0.4042,                 0.6951,                0.53163,                0.45985,                 0.5813,                 2.0572,                0.82587,             0.00050256,             0.00050256,             0.00050256
                      3,                0.80154,                 1.6699,                  1.071,                0.50625,                0.75837,                0.66429,                0.53144,                0.68342,                 1.5182,                0.89991,             0.00072102,             0.00072102,             0.00072102
                      4,                0.85932,                 1.5027,                  1.099,                 0.5344,                0.85117,                0.68518,                0.56245,                0.74737,                  1.649,                 0.9289,              0.0009126,              0.0009126,              0.0009126
                      5,                0.85992,                 1.5125,                 1.1017,                0.54064,                0.76781,                0.72145,                0.60481,                0.59972,                 1.9866,                0.86741,              0.0010773,              0.0010773,              0.0010773
                      6,                0.89799,                 1.4416,                 1.1138,                0.45533,                0.84066,                0.70779,                0.58428,                0.63476,                 2.6124,                0.90848,              0.0010753,              0.0010753,              0.0010753
                      7,                 0.9276,                 1.4795,                 1.1393,                0.68609,                0.65043,                0.79647,                 0.6673,                0.63039,                 1.6435,                0.90111,              0.0010753,              0.0010753,              0.0010753
                      8,                0.82691,                 1.3811,                 1.0976,                0.55467,                0.90232,                0.77829,                0.58597,                 0.8012,                 1.8426,                0.99362,              0.0010046,              0.0010046,              0.0010046
                      9,                0.84048,                 1.3832,                 1.0819,                0.71276,                0.78667,                0.78724,                0.66694,                0.62222,                 1.3405,                0.89445,             0.00093385,             0.00093385,             0.00093385
                     10,                0.79907,                 1.2742,                 1.0765,                0.67364,                0.78979,                0.82862,                0.71296,                0.57198,                 1.3079,                0.86358,             0.00086312,             0.00086312,             0.00086312
                     11,                0.59059,                 1.4524,                0.93713,                0.70221,                 0.8612,                0.84748,                0.74213,                0.54886,                 1.2055,                0.83026,             0.00079238,             0.00079238,             0.00079238
                     12,                0.60122,                 1.3308,                0.92893,                0.85622,                0.79694,                0.90214,                0.79198,                0.52422,                 1.0126,                0.84009,             0.00072164,             0.00072164,             0.00072164
                     13,                0.58488,                 1.2927,                0.92514,                0.89818,                 0.8622,                0.94064,                0.83291,                0.54032,                0.97952,                0.83651,             0.00065091,             0.00065091,             0.00065091
                     14,                0.57888,                 1.2074,                0.92883,                0.85509,                0.90454,                0.95444,                0.84023,                0.50989,                0.93478,                 0.8342,             0.00058017,             0.00058017,             0.00058017
                     15,                 0.5653,                 1.1926,                0.89554,                0.87913,                   0.84,                0.94816,                0.84672,                0.49275,                  1.024,                0.82586,             0.00050944,             0.00050944,             0.00050944
                     16,                0.55942,                 1.1179,                0.90718,                0.88721,                0.95454,                0.97646,                0.88777,                0.47162,                0.91382,                0.81688,              0.0004387,              0.0004387,              0.0004387
                     17,                 0.5473,                 1.0902,                0.89865,                0.93797,                0.93333,                0.98251,                0.88069,                0.46618,                0.81523,                0.81746,             0.00036797,             0.00036797,             0.00036797
                     18,                0.48459,                 1.1035,                0.86704,                0.95803,                0.95083,                0.98885,                0.90706,                0.44212,                 0.7717,                0.81127,             0.00029723,             0.00029723,             0.00029723
                     19,                0.49671,                0.96065,                0.89003,                0.96931,                  0.959,                0.99072,                0.91792,                0.42801,                0.75234,                0.80865,              0.0002265,              0.0002265,              0.0002265
                     20,                0.49483,                 1.0139,                0.87585,                0.98539,                0.96528,                0.99104,                0.92485,                0.39712,                0.70991,                0.80151,             0.00015576,             0.00015576,             0.00015576
